Mn,Fe,Co,log(k*)400ºC (cm/s)
0.220883534,0.004016064,0.775100402,-8.948722589
0.21686747,0.004016064,0.779116466,-8.940693345
0.212851406,0.004016064,0.78313253,-8.939173997
0.208835341,0.004016064,0.787148594,-8.935646179
0.204819277,0.004016064,0.791164659,-8.935646179
0.200803213,0.004016064,0.795180723,-8.935646179
0.196787149,0.004016064,0.799196787,-8.926727037
0.192771084,0.004016064,0.803212851,-8.925207053
0.18875502,0.004016064,0.807228916,-8.925207053
0.184738956,0.004016064,0.81124498,-8.925207053
0.180722892,0.004016064,0.815261044,-8.924103072
0.176706827,0.004016064,0.819277108,-8.924103072
0.172690763,0.004016064,0.823293173,-8.924103072
0.168674699,0.004016064,0.827309237,-8.924103072
0.164658635,0.004016064,0.831325301,-8.924103072
0.16064257,0.004016064,0.835341365,-8.924103072
0.156626506,0.004016064,0.83935743,-8.924103072
0.152610442,0.004016064,0.843373494,-8.924103072
0.148594378,0.004016064,0.847389558,-8.924103072
0.144578313,0.004016064,0.851405622,-8.920828273
0.140562249,0.004016064,0.855421687,-8.920828273
0.136546185,0.004016064,0.859437751,-8.920016077
0.13253012,0.004016064,0.863453815,-8.920016077
0.128514056,0.004016064,0.86746988,-8.914209252
0.124497992,0.004016064,0.871485944,-8.903736955
0.120481928,0.004016064,0.875502008,-8.903064461
0.116465863,0.004016064,0.879518072,-8.903064461
0.112449799,0.004016064,0.883534137,-8.903064461
0.108433735,0.004016064,0.887550201,-8.903064461
0.104417671,0.004016064,0.891566265,-8.903064461
0.100401606,0.004016064,0.895582329,-8.903064461
0.096385542,0.004016064,0.899598394,-8.903064461
0.092369478,0.004016064,0.903614458,-8.903064461
0.088353414,0.004016064,0.907630522,-8.903064461
0.084337349,0.004016064,0.911646586,-8.903064461
0.080321285,0.004016064,0.915662651,-8.903064461
0.076305221,0.004016064,0.919678715,-8.903064461
0.072289157,0.004016064,0.923694779,-8.903064461
0.068273092,0.004016064,0.927710843,-8.903064461
0.064257028,0.004016064,0.931726908,-8.903064461
0.060240964,0.004016064,0.935742972,-8.903064461
0.0562249,0.004016064,0.939759036,-8.903064461
0.052208835,0.004016064,0.9437751,-8.903064461
0.048192771,0.004016064,0.947791165,-8.903064461
0.044176707,0.004016064,0.951807229,-8.903064461
0.040160643,0.004016064,0.955823293,-8.903064461
0.036144578,0.004016064,0.959839357,-8.903064461
0.032128514,0.004016064,0.963855422,-8.903064461
0.02811245,0.004016064,0.967871486,-8.903064461
0.024096386,0.004016064,0.97188755,-8.903064461
0.020080321,0.004016064,0.975903614,-8.903064461
0.016064257,0.004016064,0.979919679,-8.903064461
0.012048193,0.004016064,0.983935743,-8.903064461
0.008032129,0.004016064,0.987951807,-8.903064461
0.004016064,0.004016064,0.991967871,-8.903064461
0,0.004016064,0.995983936,-8.903064461
0.991967871,0.008032129,0,-11.07653917
0.987951807,0.008032129,0.004016064,-11.07653917
0.983935743,0.008032129,0.008032129,-11.07653917
0.979919679,0.008032129,0.012048193,-11.07653917
0.975903614,0.008032129,0.016064257,-11.07653917
0.97188755,0.008032129,0.020080321,-11.07653917
0.967871486,0.008032129,0.024096386,-11.07653917
0.963855422,0.008032129,0.02811245,-11.07653917
0.959839357,0.008032129,0.032128514,-11.07653917
0.955823293,0.008032129,0.036144578,-11.07653917
0.951807229,0.008032129,0.040160643,-11.07653917
0.947791165,0.008032129,0.044176707,-11.07653917
0.9437751,0.008032129,0.048192771,-11.07653917
0.939759036,0.008032129,0.052208835,-11.07653917
0.935742972,0.008032129,0.0562249,-11.07653917
0.931726908,0.008032129,0.060240964,-11.07653917
0.927710843,0.008032129,0.064257028,-11.07653917
0.923694779,0.008032129,0.068273092,-11.07653917
0.919678715,0.008032129,0.072289157,-11.07653917
0.915662651,0.008032129,0.076305221,-11.07653917
0.911646586,0.008032129,0.080321285,-11.07653917
0.907630522,0.008032129,0.084337349,-11.07653917
0.903614458,0.008032129,0.088353414,-11.07653917
0.899598394,0.008032129,0.092369478,-11.07653917
0.895582329,0.008032129,0.096385542,-11.07653917
0.891566265,0.008032129,0.100401606,-11.07653917
0.887550201,0.008032129,0.104417671,-11.07653917
0.883534137,0.008032129,0.108433735,-11.07653917
