Mn,Fe,Co,Area Specific Resistance at 700C - ASR_700 C (ohm cm^2)
0.831325301,0.008032129,0.16064257,12.15669708
0.827309237,0.008032129,0.164658635,12.15669708
0.823293173,0.008032129,0.168674699,12.15669708
0.819277108,0.008032129,0.172690763,12.15669708
0.815261044,0.008032129,0.176706827,12.15669708
0.81124498,0.008032129,0.180722892,12.15669708
0.807228916,0.008032129,0.184738956,12.15669708
0.803212851,0.008032129,0.18875502,12.15354891
0.799196787,0.008032129,0.192771084,12.15354891
0.795180723,0.008032129,0.196787149,12.13960845
0.791164659,0.008032129,0.200803213,12.13960845
0.787148594,0.008032129,0.204819277,12.13960845
0.78313253,0.008032129,0.208835341,12.13960845
0.779116466,0.008032129,0.212851406,12.13960845
0.775100402,0.008032129,0.21686747,12.13960845
0.771084337,0.008032129,0.220883534,12.13960845
0.767068273,0.008032129,0.224899598,12.13960845
0.763052209,0.008032129,0.228915663,12.13960845
0.759036145,0.008032129,0.232931727,12.13960845
0.75502008,0.008032129,0.236947791,12.13960845
0.751004016,0.008032129,0.240963855,12.13960845
0.746987952,0.008032129,0.24497992,12.13960845
0.742971888,0.008032129,0.248995984,12.13960845
0.738955823,0.008032129,0.253012048,12.11818725
0.734939759,0.008032129,0.257028112,12.11818725
0.730923695,0.008032129,0.261044177,12.11818725
0.726907631,0.008032129,0.265060241,12.10045986
0.722891566,0.008032129,0.269076305,12.00448626
0.718875502,0.008032129,0.273092369,12.00448626
0.714859438,0.008032129,0.277108434,11.68009961
0.710843373,0.008032129,0.281124498,11.68009961
0.706827309,0.008032129,0.285140562,11.68009961
0.702811245,0.008032129,0.289156627,11.65914453
0.698795181,0.008032129,0.293172691,11.65914453
0.694779116,0.008032129,0.297188755,11.53739134
0.690763052,0.008032129,0.301204819,11.32471435
0.686746988,0.008032129,0.305220884,11.32471435
0.682730924,0.008032129,0.309236948,11.17099533
0.678714859,0.008032129,0.313253012,11.01358726
0.674698795,0.008032129,0.317269076,10.96631121
0.670682731,0.008032129,0.321285141,10.96442408
0.666666667,0.008032129,0.325301205,10.92398691
0.662650602,0.008032129,0.329317269,10.92926714
0.658634538,0.008032129,0.333333333,10.84968917
0.654618474,0.008032129,0.337349398,10.79440018
0.65060241,0.008032129,0.341365462,10.64391163
0.646586345,0.008032129,0.345381526,10.36631719
0.642570281,0.008032129,0.34939759,10.34573185
0.638554217,0.008032129,0.353413655,10.2784045
0.634538153,0.008032129,0.357429719,10.18237504
0.630522088,0.008032129,0.361445783,9.831178924
0.626506024,0.008032129,0.365461847,9.749986218
0.62248996,0.008032129,0.369477912,9.627359123
0.618473896,0.008032129,0.373493976,9.418623279
0.614457831,0.008032129,0.37751004,9.37195452
0.610441767,0.008032129,0.381526104,9.160200114
0.606425703,0.008032129,0.385542169,9.119666006
0.602409639,0.008032129,0.389558233,9.096638769
0.598393574,0.008032129,0.393574297,8.981868687
0.59437751,0.008032129,0.397590361,8.959888597
0.590361446,0.008032129,0.401606426,8.954722512
0.586345382,0.008032129,0.40562249,8.892061896
0.582329317,0.008032129,0.409638554,8.794828521
0.578313253,0.008032129,0.413654618,8.749198319
0.574297189,0.008032129,0.417670683,8.493737347
0.570281124,0.008032129,0.421686747,8.467923357
