Mn,Fe,Co,Activation Energy - E_a (eV)
0.004016064,0.004016064,0.991967871,1.848678474
0,0.004016064,0.995983936,1.848678474
0.991967871,0.008032129,0,1.675249717
0.987951807,0.008032129,0.004016064,1.675249717
0.983935743,0.008032129,0.008032129,1.675249717
0.979919679,0.008032129,0.012048193,1.675249717
0.975903614,0.008032129,0.016064257,1.675249717
0.97188755,0.008032129,0.020080321,1.675249717
0.967871486,0.008032129,0.024096386,1.675249717
0.963855422,0.008032129,0.02811245,1.675249717
0.959839357,0.008032129,0.032128514,1.675249717
0.955823293,0.008032129,0.036144578,1.675249717
0.951807229,0.008032129,0.040160643,1.675249717
0.947791165,0.008032129,0.044176707,1.675249717
0.9437751,0.008032129,0.048192771,1.675249717
0.939759036,0.008032129,0.052208835,1.675249717
0.935742972,0.008032129,0.0562249,1.675249717
0.931726908,0.008032129,0.060240964,1.675249717
0.927710843,0.008032129,0.064257028,1.675249717
0.923694779,0.008032129,0.068273092,1.675249717
0.919678715,0.008032129,0.072289157,1.675249717
0.915662651,0.008032129,0.076305221,1.675249717
0.911646586,0.008032129,0.080321285,1.675249717
0.907630522,0.008032129,0.084337349,1.675249717
0.903614458,0.008032129,0.088353414,1.675249717
0.899598394,0.008032129,0.092369478,1.675249717
0.895582329,0.008032129,0.096385542,1.675249717
0.891566265,0.008032129,0.100401606,1.675249717
0.887550201,0.008032129,0.104417671,1.675249717
0.883534137,0.008032129,0.108433735,1.675249717
0.879518072,0.008032129,0.112449799,1.675249717
0.875502008,0.008032129,0.116465863,1.675249717
0.871485944,0.008032129,0.120481928,1.675249717
0.86746988,0.008032129,0.124497992,1.675249717
0.863453815,0.008032129,0.128514056,1.675249717
0.859437751,0.008032129,0.13253012,1.675249717
0.855421687,0.008032129,0.136546185,1.673462573
0.851405622,0.008032129,0.140562249,1.673462573
0.847389558,0.008032129,0.144578313,1.673462573
0.843373494,0.008032129,0.148594378,1.673462573
0.83935743,0.008032129,0.152610442,1.673462573
0.835341365,0.008032129,0.156626506,1.673462573
0.831325301,0.008032129,0.16064257,1.673462573
0.827309237,0.008032129,0.164658635,1.673462573
0.823293173,0.008032129,0.168674699,1.673462573
0.819277108,0.008032129,0.172690763,1.673462573
0.815261044,0.008032129,0.176706827,1.673462573
